"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"친구 누나","['멜로/로맨스']","한국",84,"2016.03.10","청소년 관람불가","채길병","['박초현']",NA,6.26,NA,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"태평륜피안","['드라마', '액션', '전쟁']","중국",126,"2016.08.18","15세 관람가","오우삼","['장쯔이', '금성무', '송혜교']",NA,7.86,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"필라델피아","['드라마']","미국",125,"1994.03.26","15세 관람가","조나단 드미","['톰 행크스', '덴젤 워싱톤']",NA,8.61,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"닌자터틀","['모험', '액션', '코미디', '판타지', 'SF']","미국",101,"2014.08.28","12세 관람가","조나단 리브스만","['메간 폭스', '피터 플로스잭', '제레미 하워드']",8.07,4.71,7.7,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"부러진 화살","['드라마']","한국",100,"2012.01.18","15세 관람가","정지영","['안성기', '박원상', '나영희']",NA,7.61,8.92,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"송어","['스릴러']","한국",100,"1999.11.06","12세 관람가","박종원","['강수연', '황인성', '설경구']",NA,8.22,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"이별계약","['드라마', '멜로/로맨스']","중국",103,"2013.06.20","12세 관람가","오기환","['펑위옌', '바이바이허', '장경부']",NA,5,8.37,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"다가오는 것들","['드라마']","프랑스",102,"2016.09.29","15세 관람가","미아 한센-러브","['이자벨 위페르', '에디뜨 스꼽']",8.45,8,8.33,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"백 투 더 비기닝","['SF', '스릴러']","미국",106,"2015.02.26","15세 관람가","딘 이스라엘리트","['조니 웨스턴', '소피아 블랙 디엘리아', '샘 러너']",7.37,4,8,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"노이 알비노이","['드라마']","아이슬란드",91,"2006.09.29","12세 관람가","다구르 카리","['토마스 레마르퀴스', '드로스터 레오 구나슨']",NA,7,8.03,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
