"G","B","predicted","actual"
0.00987179706685235,0.00229082966424039,"G","A"
0.139347011896963,0.00898620069586395,"G","B"
0.00135122649159618,0.000322082918614134,"G","G"
0.0026107273850853,0.000517473750037735,"G","G"
0.0324700883437133,0.00667352388223707,"G","A"
0.648906864324971,0.147364792023645,"G","A"
0.648906864324971,0.147364792023645,"G","G"
0.0627360027073872,0.0107220011671742,"G","G"
0.0128802163487113,0.00105889103701509,"G","G"
0.0423653119990792,0.00898620069586395,"G","A"
0.0423653119990792,0.00898620069586395,"G","A"
0.0423653119990792,0.00898620069586395,"G","A"
0.0818547304257069,0.0144376578326137,"G","A"
0.106799869355977,0.0194409570043507,"G","G"
0.0721214229703237,0.0162936320036608,"G","G"
0.0721214229703237,0.0474657474548062,"G","G"
0.309512702222672,0.0639147683195374,"G","G"
0.0324700883437133,0.00667352388223707,"G","G"
0.526905042317979,0.115889211675086,"G","G"
0.0381917566554272,0.00830586773726501,"G","G"
0.0818547304257069,0.0144376578326137,"G","G"
0.237220129168175,0.0474657474548062,"G","B"
0.309512702222672,0.0639147683195374,"G","G"
0.0381917566554272,0.00830586773726501,"G","A"
0.237220129168175,0.0474657474548062,"G","B"
0.648906864324971,0.147364792023645,"G","G"
0.00987179706685235,0.00229082966424039,"G","G"
0.309512702222672,0.0639147683195374,"G","G"
0.0941003471752766,0.0219401098779565,"G","G"
0.181812860275055,0.0352500250048587,"G","A"
0.0627360027073872,0.0107220011671742,"G","A"
0.309512702222672,0.0639147683195374,"G","A"
0.237220129168175,0.0474657474548062,"G","G"
0.237220129168175,0.0474657474548062,"G","B"
0.0721214229703237,0.0162936320036608,"G","A"
0.526905042317979,0.115889211675086,"G","B"
0.106799869355977,0.0194409570043507,"G","G"
0.648906864324971,0.147364792023645,"G","G"
0.055276094163348,0.0121003242621612,"G","G"
0.0721214229703237,0.0162936320036608,"G","G"
0.0423653119990792,0.00898620069586395,"G","G"
0.526905042317979,0.115889211675086,"G","B"
0.0423653119990792,0.0261781248473176,"G","G"
0.309512702222672,0.0639147683195374,"G","G"
0.000209913117792733,4.01255898238206e-05,"G","G"
0.139347011896963,0.00898620069586395,"G","B"
0.648906864324971,0.147364792023645,"G","B"
0.0368521615188759,0.00202988596021273,"G","G"
0.0128802163487113,0.00308470539495575,"G","B"
0.0282446389206504,0.00439150281769184,"G","A"
1.44201118442687e-07,1.48300436939104e-08,"G","B"
0.055276094163348,0.0352500250048587,"G","B"
0.0075660512751298,0.00495603453718622,"G","G"
0.309512702222672,0.0639147683195374,"G","G"
0.237220129168175,0.0474657474548062,"G","B"
0.648906864324971,0.147364792023645,"G","A"
0.648906864324971,0.147364792023645,"G","A"
0.526905042317979,0.115889211675086,"G","G"
0.237220129168175,0.0474657474548062,"G","G"
0.648906864324971,0.147364792023645,"G","G"
0.055276094163348,0.0121003242621612,"G","A"
0.648906864324971,0.147364792023645,"G","G"
0.526905042317979,0.115889211675086,"G","G"
0.648906864324971,0.147364792023645,"G","G"
0.237220129168175,0.0474657474548062,"G","G"
0.648906864324971,0.147364792023645,"G","B"
0.526905042317979,0.115889211675086,"G","A"
0.0423653119990792,0.0261781248473176,"G","B"
0.0219268898870584,0.0162936320036608,"G","G"
3.81358942377742e-08,2.84290795098883e-08,"G","G"
0.181812860275055,0.0352500250048587,"G","G"
0.00102242924882847,0.00040629923749031,"G","G"
0.0721214229703237,0.0162936320036608,"G","G"
0.648906864324971,0.147364792023645,"G","A"
0.526905042317979,0.147364792023645,"G","B"
0.0627360027073872,0.0107220011671742,"G","B"
0.000209913117792733,0.000116891747194529,"G","G"
0.181812860275055,0.0352500250048587,"G","A"
0.181812860275055,0.0352500250048587,"G","G"
0.526905042317979,0.115889211675086,"G","G"
0.055276094163348,0.0121003242621612,"G","G"
0.055276094163348,0.0121003242621612,"G","G"
0.106799869355977,0.0194409570043507,"G","B"
0.181812860275055,0.0352500250048587,"G","G"
0.0818547304257069,0.00495603453718622,"G","G"
0.0190734648134315,0.0036805559951857,"G","B"
0.0026107273850853,0.000517473750037735,"G","G"
